Name;V2 Mit Ventilatin 10 min;
File;C:\Users\Serafin Kollegger\Desktop\Scope Projekte\TempStepResponse\Volt2MitVentilation10min.csv;
Starttime of export;133604232575190000;Freitag, 17. Mai 2024;14:40:57.519
Endtime of export;133604238575190000;Freitag, 17. Mai 2024;14:50:57.519


Name;iTempSens1;iTempSens2;bHeating;rHeating
SampleTime[ms];10;10;10;10
SymbolBased;True;True;True;True
SymbolName;IFC_HW.iTempSens1;IFC_HW.iTempSens2;GVL_VIS.bHeating;GVL_VIS.rHeating
NetID;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1
Port;851;851;851;851

5090;2866;2838;0;2.02256942
5100;2866;2838;0;2.02256942
5110;2866;2838;0;2.02256942
5120;2866;2838;0;2.02256942
5130;2866;2838;0;2.02256942
5140;2866;2838;0;2.02256942
5150;2866;2838;0;2.02256942
5160;2866;2838;0;2.02256942
5170;2866;2838;0;2.02256942
5180;2866;2838;0;2.02256942
5190;2866;2838;0;2.02256942
5200;2866;2838;0;2.02256942
5210;2866;2838;0;2.02256942
5220;2866;2838;0;2.02256942
5230;2866;2838;0;2.02256942
5240;2866;2838;0;2.02256942
5250;2866;2838;0;2.02256942
5260;2866;2838;0;2.02256942
5270;2866;2838;0;2.02256942
5280;2866;2838;0;2.02256942
5290;2866;2838;0;2.02256942
5300;2866;2838;0;2.02256942
5310;2866;2838;0;2.02256942
5320;2866;2838;0;2.02256942
5330;2866;2838;0;2.02256942
5340;2866;2838;0;2.02256942
5350;2866;2838;0;2.02256942
5360;2866;2838;0;2.02256942
5370;2866;2838;0;2.02256942
5380;2866;2838;0;2.02256942
5390;2866;2838;0;2.02256942
5400;2866;2838;0;2.02256942
5410;2866;2838;0;2.02256942
5420;2866;2838;0;2.02256942
5430;2866;2838;0;2.02256942
5440;2866;2838;0;2.02256942
5450;2866;2838;0;2.02256942
5460;2866;2838;0;2.02256942
5470;2866;2838;0;2.02256942
5480;2866;2838;0;2.02256942
5490;2866;2838;0;2.02256942
5500;2866;2838;0;2.02256942
5510;2866;2838;0;2.02256942
5520;2866;2838;0;2.02256942
5530;2866;2838;0;2.02256942
5540;2866;2838;0;2.02256942
5550;2866;2838;0;2.02256942
5560;2866;2838;0;2.02256942
5570;2866;2838;0;2.02256942
5580;2866;2838;0;2.02256942
5590;2866;2838;0;2.02256942
5600;2866;2838;0;2.02256942
